Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:30:46)
Read blend: "/Users/chikumatsuboi/Code/animal-racers-western/assets/source/western/revision2/inputs/lion.blend"
Fra:1 Mem:34.33M (Peak 34.33M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Body • continuous sculpted skin
Fra:1 Mem:29.63M (Peak 29.63M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 wolf nape flow.001
Fra:1 Mem:29.64M (Peak 29.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brass crest clasp
Fra:1 Mem:29.66M (Peak 29.66M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 wolf nape flow
Fra:1 Mem:29.68M (Peak 29.68M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Raised elemental crest
Fra:1 Mem:29.69M (Peak 29.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 swept canine cheek.004
Fra:1 Mem:29.70M (Peak 29.70M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 connected orbital skull and species muzzle
Fra:1 Mem:29.75M (Peak 29.75M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 swept canine cheek.003
Fra:1 Mem:29.94M (Peak 29.94M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 swept canine cheek.002
Fra:1 Mem:29.97M (Peak 29.97M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 swept canine cheek.001
Fra:1 Mem:29.99M (Peak 29.99M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 swept canine cheek
Fra:1 Mem:30.01M (Peak 30.01M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 cupped species ear.001
Fra:1 Mem:30.03M (Peak 30.03M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 cupped species ear
Fra:1 Mem:30.19M (Peak 30.19M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 articulated oral lining
Fra:1 Mem:30.20M (Peak 30.20M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 inset almond sclera
Fra:1 Mem:30.21M (Peak 30.21M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 anatomical mandible
Fra:1 Mem:30.24M (Peak 30.24M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 iris
Fra:1 Mem:30.25M (Peak 30.25M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.017
Fra:1 Mem:30.25M (Peak 30.25M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 pupil
Fra:1 Mem:30.25M (Peak 30.25M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.016
Fra:1 Mem:30.25M (Peak 30.25M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 catchlight
Fra:1 Mem:30.26M (Peak 30.26M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.015
Fra:1 Mem:30.26M (Peak 30.26M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 shaded upper eyelid margin
Fra:1 Mem:30.26M (Peak 30.26M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.014
Fra:1 Mem:30.26M (Peak 30.26M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 integrated brow ridge
Fra:1 Mem:30.27M (Peak 30.27M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.013
Fra:1 Mem:30.28M (Peak 30.28M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.012
Fra:1 Mem:30.28M (Peak 30.28M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 inset almond sclera.001
Fra:1 Mem:30.29M (Peak 30.29M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.011
Fra:1 Mem:30.31M (Peak 30.31M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 iris.001
Fra:1 Mem:30.31M (Peak 30.31M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.010
Fra:1 Mem:30.31M (Peak 30.31M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 pupil.001
Fra:1 Mem:30.31M (Peak 30.31M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.009
Fra:1 Mem:30.31M (Peak 30.31M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 catchlight.001
Fra:1 Mem:30.31M (Peak 30.31M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.008
Fra:1 Mem:30.32M (Peak 30.32M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 shaded upper eyelid margin.001
Fra:1 Mem:30.32M (Peak 30.32M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.007
Fra:1 Mem:30.32M (Peak 30.32M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 integrated brow ridge.001
Fra:1 Mem:30.32M (Peak 30.32M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.006
Fra:1 Mem:30.34M (Peak 30.34M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 broad wet nose
Fra:1 Mem:30.34M (Peak 30.34M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.005
Fra:1 Mem:30.34M (Peak 30.34M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle
Fra:1 Mem:30.35M (Peak 30.35M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.004
Fra:1 Mem:30.35M (Peak 30.35M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.001
Fra:1 Mem:30.35M (Peak 30.35M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.003
Fra:1 Mem:30.35M (Peak 30.35M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R2 whisker follicle.002
Fra:1 Mem:30.35M (Peak 30.35M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:28.73M (Peak 30.35M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Authored short-fur normal
Fra:1 Mem:24.94M (Peak 30.35M) | Time:00:00.00 | Mem:0.25M, Peak:0.25M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:24.94M (Peak 30.35M) | Time:00:00.00 | Mem:0.25M, Peak:0.25M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:24.94M (Peak 30.35M) | Time:00:00.00 | Mem:0.25M, Peak:0.25M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:24.94M (Peak 30.35M) | Time:00:00.00 | Mem:0.25M, Peak:0.25M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:25.03M (Peak 30.35M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:25.03M (Peak 30.35M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Background
Fra:1 Mem:25.03M (Peak 30.35M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:25.03M (Peak 30.35M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:25.03M (Peak 30.35M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:25.03M (Peak 30.35M) | Time:00:00.00 | Mem:0.26M, Peak:0.26M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:25.05M (Peak 30.35M) | Time:00:00.00 | Mem:0.28M, Peak:0.28M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:25.05M (Peak 30.35M) | Time:00:00.00 | Mem:0.28M, Peak:0.28M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:25.05M (Peak 30.35M) | Time:00:00.00 | Mem:0.28M, Peak:0.28M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:26.01M (Peak 30.35M) | Time:00:00.01 | Mem:0.28M, Peak:0.28M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:26.01M (Peak 30.35M) | Time:00:00.01 | Mem:0.28M, Peak:0.28M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:27.43M (Peak 30.35M) | Time:00:00.01 | Mem:0.29M, Peak:0.29M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:27.40M (Peak 30.35M) | Time:00:00.01 | Mem:1.67M, Peak:1.67M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:27.40M (Peak 30.35M) | Time:00:00.01 | Mem:1.67M, Peak:1.67M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:27.40M (Peak 30.35M) | Time:00:00.01 | Mem:2.24M, Peak:2.24M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:27.40M (Peak 30.35M) | Time:00:00.01 | Mem:2.85M, Peak:3.41M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:27.40M (Peak 30.35M) | Time:00:00.01 | Mem:2.85M, Peak:3.41M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:2.85M, Peak:3.41M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.36M, Peak:3.41M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.36M, Peak:3.41M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.36M, Peak:3.41M | Scene, ViewLayer | Updating Images
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.36M, Peak:3.41M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.36M, Peak:3.41M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.44M, Peak:3.44M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.44M, Peak:3.44M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.44M, Peak:3.44M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.44M, Peak:3.44M | Scene, ViewLayer | Updating Film
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.36M, Peak:3.44M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.44M, Peak:3.44M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:27.91M (Peak 30.35M) | Time:00:00.01 | Mem:3.44M, Peak:3.44M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:27.92M (Peak 30.35M) | Time:00:00.01 | Mem:3.44M, Peak:3.44M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:27.92M (Peak 30.35M) | Time:00:00.01 | Mem:3.44M, Peak:3.44M | Scene, ViewLayer | Sample 0/20
Fra:1 Mem:46.94M (Peak 46.94M) | Time:00:00.06 | Remaining:00:00.89 | Mem:22.46M, Peak:22.46M | Scene, ViewLayer | Sample 1/20
Fra:1 Mem:54.94M (Peak 66.95M) | Time:00:01.88 | Mem:22.46M, Peak:22.46M | Scene, ViewLayer | Sample 20/20
Fra:1 Mem:54.94M (Peak 66.95M) | Time:00:01.88 | Mem:22.46M, Peak:22.46M | Scene, ViewLayer | Finished
Saved: '/Users/chikumatsuboi/Code/animal-racers-western/assets/source/western/revision2/qa/wolf/race/candidate-material.png'
Time: 00:01.90 (Saving: 00:00.01)

REVISION2_MATERIAL_PROOF wolf race candidate
Read blend: "/Users/chikumatsuboi/Code/animal-racers-western/assets/source/western/revision2/inputs/wolf-upright.blend"
Fra:1 Mem:28.71M (Peak 28.71M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe
Fra:1 Mem:28.74M (Peak 28.74M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw
Fra:1 Mem:28.74M (Peak 28.74M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.001
Fra:1 Mem:28.77M (Peak 28.77M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.001
Fra:1 Mem:28.77M (Peak 28.77M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.002
Fra:1 Mem:28.79M (Peak 28.79M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.002
Fra:1 Mem:28.79M (Peak 28.79M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.003
Fra:1 Mem:28.82M (Peak 28.82M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.003
Fra:1 Mem:28.82M (Peak 28.82M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.004
Fra:1 Mem:28.84M (Peak 28.84M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.004
Fra:1 Mem:28.84M (Peak 28.84M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.005
Fra:1 Mem:28.86M (Peak 28.86M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.005
Fra:1 Mem:28.87M (Peak 28.87M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.006
Fra:1 Mem:28.89M (Peak 28.89M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.006
Fra:1 Mem:28.89M (Peak 28.89M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.007
Fra:1 Mem:28.91M (Peak 28.91M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.007
Fra:1 Mem:28.92M (Peak 28.92M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.008
Fra:1 Mem:28.94M (Peak 28.94M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.008
Fra:1 Mem:28.94M (Peak 28.94M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.009
Fra:1 Mem:28.96M (Peak 28.96M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.009
Fra:1 Mem:28.97M (Peak 28.97M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.010
Fra:1 Mem:28.98M (Peak 28.98M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Matched softbox.002
Fra:1 Mem:28.98M (Peak 28.98M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory claw.010
Fra:1 Mem:28.99M (Peak 28.99M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Matched softbox.001
Fra:1 Mem:28.99M (Peak 28.99M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Paw toe.011
Fra:1 Mem:29.00M (Peak 29.00M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Matched softbox
Fra:1 Mem:29.01M (Peak 29.01M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upright body • connected joint topology
Fra:1 Mem:29.11M (Peak 29.11M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Head • species sculpt
Fra:1 Mem:29.84M (Peak 29.84M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Frost muzzle
Fra:1 Mem:29.89M (Peak 29.89M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Heart shaped nose
Fra:1 Mem:29.89M (Peak 29.89M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eye socket
Fra:1 Mem:29.94M (Peak 29.94M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory eye
Fra:1 Mem:30.07M (Peak 30.07M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Iris
Fra:1 Mem:30.38M (Peak 30.38M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pupil
Fra:1 Mem:30.40M (Peak 30.40M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eye glint
Fra:1 Mem:30.40M (Peak 30.40M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Raised elemental crest
Fra:1 Mem:30.42M (Peak 30.42M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Expressive brow
Fra:1 Mem:30.42M (Peak 30.42M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brass crest clasp
Fra:1 Mem:30.42M (Peak 30.42M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Smiling mouth
Fra:1 Mem:30.45M (Peak 30.45M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore
Fra:1 Mem:30.45M (Peak 30.45M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Neckerchief folded point
Fra:1 Mem:30.46M (Peak 30.46M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore.001
Fra:1 Mem:30.46M (Peak 30.46M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leather neckerchief roll
Fra:1 Mem:30.47M (Peak 30.47M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore.002
Fra:1 Mem:30.47M (Peak 30.47M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Articulated tail
Fra:1 Mem:30.48M (Peak 30.48M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eye socket.001
Fra:1 Mem:30.53M (Peak 30.53M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.011
Fra:1 Mem:30.55M (Peak 30.55M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory eye.001
Fra:1 Mem:30.57M (Peak 30.57M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.010
Fra:1 Mem:30.59M (Peak 30.59M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.009
Fra:1 Mem:30.61M (Peak 30.61M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Iris.001
Fra:1 Mem:30.60M (Peak 30.61M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.011
Fra:1 Mem:30.64M (Peak 30.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.010
Fra:1 Mem:30.65M (Peak 30.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pupil.001
Fra:1 Mem:30.66M (Peak 30.66M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.009
Fra:1 Mem:30.68M (Peak 30.68M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.008
Fra:1 Mem:30.69M (Peak 30.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eye glint.001
Fra:1 Mem:30.69M (Peak 30.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.007
Fra:1 Mem:30.70M (Peak 30.70M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Expressive brow.001
Fra:1 Mem:30.70M (Peak 30.70M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.006
Fra:1 Mem:30.72M (Peak 30.72M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Smiling mouth.001
Fra:1 Mem:30.71M (Peak 30.72M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.008
Fra:1 Mem:30.72M (Peak 30.72M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore.003
Fra:1 Mem:30.72M (Peak 30.72M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.007
Fra:1 Mem:30.72M (Peak 30.72M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore.004
Fra:1 Mem:30.73M (Peak 30.73M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.006
Fra:1 Mem:30.74M (Peak 30.74M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore.005
Fra:1 Mem:30.74M (Peak 30.74M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.005
Fra:1 Mem:30.75M (Peak 30.75M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lower jaw
Fra:1 Mem:30.75M (Peak 30.75M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.004
Fra:1 Mem:30.78M (Peak 30.78M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.003
Fra:1 Mem:30.80M (Peak 30.80M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Connected inner mouth sleeve
Fra:1 Mem:30.80M (Peak 30.80M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.005
Fra:1 Mem:30.81M (Peak 30.81M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Upper palate
Fra:1 Mem:30.83M (Peak 30.83M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.004
Fra:1 Mem:30.81M (Peak 30.83M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mandible floor
Fra:1 Mem:30.82M (Peak 30.83M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Layered shoulder fur.003
Fra:1 Mem:30.82M (Peak 30.83M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Connected outer cheek
Fra:1 Mem:30.83M (Peak 30.83M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.002
Fra:1 Mem:30.84M (Peak 30.84M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Connected outer cheek.001
Fra:1 Mem:30.83M (Peak 30.84M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur.001
Fra:1 Mem:30.84M (Peak 30.84M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Howl tongue
Fra:1 Mem:30.85M (Peak 30.85M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Wrist fur
Fra:1 Mem:30.86M (Peak 30.86M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lower canine
